id,instance,type,status,inputs (#post),outputs (#pre),#voxels
911911004,L1L9R8_R,Delta7,Traced,1496,653,1405984537
911919917,L1L9R8_R,Delta7,Traced,1182,562,1330959441
5813061383,L1L9R8_R,Delta7,Traced,1322,608,1252686779
911574261,L1L9R8_R,Delta7,Traced,1283,579,1331108352
881221166,L1L9R8_R,Delta7,Traced,1285,606,1392031704
911470352,L2R7_R,Delta7,Traced,1061,491,973398327
911574041,L2R7_R,Delta7,Traced,1150,513,1265893214
942522378,L2R7_R,Delta7,Traced,1059,508,1143605864
911578496,L2R7_R,Delta7,Traced,1210,552,1222517235
911911699,L2R7_R,Delta7,Traced,990,498,1123963528
911565419,L3R6_R,Delta7,Traced,1022,546,1137101158
941469087,L3R6_R,Delta7,Traced,1245,535,1369185757
910783961,L3R6_R,Delta7,Traced,1127,596,1236825841
911906936,L3R6_R,Delta7,Traced,1135,525,1201728174
910442723,L4R5_R,Delta7,Traced,1157,525,1117687707
911138168,L4R5_R,Delta7,Traced,1054,540,1208668943
911129339,L4R5_R,Delta7,Traced,1045,523,1253944757
911134009,L4R5_R,Delta7,Traced,1125,534,1154421327
880880259,L4R5_R,Delta7,Traced,1208,546,1316285121
911901802,L4R6_R,Delta7,Traced,1254,555,1329640874
910442782,L4R6_R,Delta7,Traced,1061,559,1259835371
910801332,L5R4_L,Delta7,Traced,1084,500,1159726491
910796989,L5R4_L,Delta7,Traced,1342,524,1255203623
880875736,L5R4_L,Delta7,Traced,1169,479,1191511440
880530613,L5R4_L,Delta7,Traced,1136,504,1224522950
5813048042,L5R4_L,Delta7,Traced,1147,515,1257510073
941482720,L6R3_L,Delta7,Traced,1081,476,1003054397
941814787,L6R3_L,Delta7,Traced,1084,529,1177694508
734581598,L6R3_L,Delta7,Traced,1039,513,1119401398
911919044,L6R3_L,Delta7,Traced,1186,546,1229865638
973959177,L6R3_L,Delta7,Traced,1071,496,1149652995
911211196,L6R4_L,Delta7,Traced,1110,570,1285372926
911241750,L6R4_L,Delta7,Traced,1361,593,1284732487
911129204,L7R2_L,Delta7,Traced,1153,505,1116727873
912243353,L7R2_L,Delta7,Traced,982,508,1049575086
1158747783,L7R2_L,Delta7,Traced,1159,500,1103821874
941810314,L7R3_L,Delta7,Traced,1031,514,1071443420
911578595,L8R1R9_L,Delta7,Traced,1320,556,1298375984
910783883,L8R1R9_L,Delta7,Traced,1367,600,1563381931
910783731,L8R1R9_L,Delta7,Traced,1187,579,1426214612
910442752,L8R1R9_L,Delta7,Traced,1200,528,1222414327
911911193,L8R1R9_L,Delta7,Traced,1221,594,1317101487
